	Smiles String	agg
109	NC1=C(C#N)C(C2=C(O1)Oc3ccccc3C2=O)c4ccc(F)cc4	NONAGG
110	Cc1ccccc1N2C(=S)NC(=O)\C(=C/c3cccn3c4ccccc4)\C2=O	AMBIG
111	CC(C)CC(N1C(=O)c2ccccc2C1=O)C(=O)Nc3c(C)cccc3C	NONAGG
112	CCOC(=O)C1CCN(CC1)C(=O)c2ccc(cc2)C(=O)N3CCC(CC3)C(=O)OCC	NONAGG
113	COc1cc(cc(OC)c1OC)C(=O)N2CCC(C)CC2	NONAGG
114	OC1=C(C(N(C1=O)c2ccccn2)c3ccc(Cl)cc3)C(=O)c4ccc(Cl)cc4	NONAGG
115	CC(C)(C)C(=O)NC1CCSC1=O	NONAGG
116	COc1ccc(cc1C)c2csc(Nc3cccc(C)n3)n2	AGG
117	CC(C)C12CN3CC(CN(C1)C3c4cccnc4)(C(C)C)C2=O	NONAGG
118	CCc1ccccc1NC(=O)C2CCN(CC2)C(=O)c3ccc(OC)c(OC)c3	NONAGG
119	Brc1oc(cc1)C(=O)Nc2ccc3NC(=O)Nc3c2	NONAGG
120	COc1ccc2[nH]c(SCc3cccc(I)c3)nc2c1	AGG
121	CN(C)c1ccc(NC(=O)c2oc3ccccc3c2)cc1	AGG
122	COc1ccc(CC(=O)NN2C(=O)c3ccccc3N=C2c4ccccc4)cc1	NONAGG
123	CC1=C(C(C(=C(N1)SCC(=O)Nc2ccc(Cl)c(Cl)c2)C#N)c3occc3)C(=O)N	AGG
124	CCN1C(=O)CC(S/C/1=N\c2ccc(F)cc2)C(=O)Nc3ccc(Br)cc3	AGG
125	CCOC(=O)c1c2CC(C)(C)OCc2sc1NC(=O)C3CC(=CCC3C(=O)O)Cl	NONAGG
127	COc1ccc(CCNC(=O)c2sc3nc4CCCCCCc4cc3c2N)cc1OC	NONAGG
128	Cc1nc(c(N2CCOCC2)n1Cc3ccccc3)[N+](=O)[O-]	NONAGG
129	CCOc1ccccc1c2cc(C(=O)Nc3ccc(cc3)S(=O)(=O)N)c4ccccc4n2	AGG
130	Brc1cccc(c1)C(=O)N\C(=C\c2occc2)\C(=O)Nc3ccccc3	AGG
131	COc1ccc(cc1C)C(=O)CSc2nc(C)cc(C)n2	NONAGG
132	CNc1ccccc1C(=O)\N=C(\N)/Nc2nc(C)c3cccc(C)c3n2	NONAGG
133	CCSc1nc(N)c2c(C)c(C)sc2n1	NONAGG
134	COc1ccccc1NC(=O)CC(NCCCN2CCOCC2)C(=O)O	NONAGG
135	CC(=O)c1c(C)n(Cc2ccccc2)c(C)c1C(=O)C	NONAGG
136	Cc1cc(OCC(=O)n2cnnc2N)cc(C)c1Cl	NONAGG
137	COc1ccc(cc1)c2oc3ccc(NC(=O)Cc4ccc(OC)c(OC)c4)cc3n2	NONAGG
138	CCCCCNc1nc(CCCC)c2COC(C)(C)Cc2c1C#N	NONAGG
139	COc1cc(NC(=O)c2sc3nc(ccc3c2N)c4ccc(F)cc4)cc(OC)c1OC	NONAGG
140	COc1cc(ccc1c2oc(CO)cc2)[N+](=O)[O-]	NONAGG
141	COc1ccc(cc1)C(C(=O)OCCN(C)C)c2ccccc2	NONAGG
142	Cc1cccc(OCC(=O)NCc2ccccn2)c1	NONAGG
